"Data","GJGB10 Index"
2019-11-25,-3.0567278766954e-06
2019-11-26,-3.49359479936809e-06
2019-11-27,-4.28802104558323e-06
2019-11-28,-3.25529781210854e-06
2019-11-29,-2.89787905407973e-06
2019-12-02,-1.78611459691314e-06
2019-12-03,-8.73111537718e-07
2019-12-04,-1.50822195108825e-06
2019-12-05,-1.11126607835011e-06
2019-12-06,-2.3810235284318e-07
2019-12-09,-7.93658699505829e-08
2019-12-10,-5.15906417474767e-07
2019-12-11,1.19045840579154e-07
2019-12-12,-4.7621893646897e-07
2019-12-13,-7.14349752700378e-07
2019-12-16,-4.36531850741208e-07
2019-12-17,-1.58733320824666e-07
2019-12-18,-4.76218936549777e-07
2019-12-19,1.19045840548013e-07
2019-12-20,5.55516824548269e-07
2019-12-23,6.34870048207545e-07
2019-12-24,4.76162020486577e-07
2019-12-26,-1.19057112745291e-06
2019-12-27,0
2019-12-30,-4.36531850950673e-07
2020-01-02,-1.30959498090172e-06
2020-01-03,-4.36531850893605e-07
2020-01-06,-7.9372985433718e-07
2020-01-07,-1.98417639087948e-07
2020-01-08,-7.93658699846394e-08
2020-01-09,3.96805635795437e-07
2020-01-10,0
2020-01-13,0
2020-01-14,0
2020-01-15,3.96805635693912e-07
2020-01-16,5.95193633780457e-07
2020-01-17,1.1904584052418e-07
2020-01-20,3.96805635736777e-07
2020-01-21,1.98407757999442e-07
2020-01-22,7.93642888857018e-08
2020-01-23,-6.74660294608062e-07
2020-01-28,-4.08805871070135e-06
2020-01-29,-1.54791971364669e-06
2020-01-30,-2.3022523700965e-06
2020-01-31,-2.61990885330678e-06
2020-02-03,-2.26254709014255e-06
2020-02-04,-1.86551605611288e-06
2020-02-05,-1.38913103639735e-06
2020-02-06,-6.74660294583777e-07
2020-02-07,-1.50822195127832e-06
2020-02-10,-2.18313771801954e-06
2020-02-11,-2.18313771799733e-06
2020-02-12,-1.3494348557476e-06
2020-02-13,-1.34943485567758e-06
2020-02-14,-1.07157266623638e-06
2020-02-17,-1.30973907068283e-06
2020-02-18,-2.38166411639902e-06
2020-02-19,-1.86551605605701e-06
2020-02-20,-1.54791971387764e-06
2020-02-21,-2.2228422062961e-06
2020-02-24,-2.22284220628518e-06
2020-02-25,-4.1291231228697e-06
2020-02-26,-3.41416088677928e-06
2020-02-27,-4.16884700938452e-06
2020-02-28,-6.07605949805639e-06
2020-03-02,-4.64556454400997e-06
2020-03-03,-4.24829597065609e-06
2020-03-04,-5.00314013284513e-06
2020-03-05,-4.44692530550375e-06
2020-03-06,-4.80448306595661e-06
2020-03-09,-6.47351037738327e-06
2020-03-10,-1.9052173791304e-06
2020-03-11,-2.6199088534022e-06
2020-03-12,-2.26254709021778e-06
2020-03-13,2.14228107439379e-06
2020-03-16,6.74546067433296e-07
2020-03-17,7.14221691290455e-07
2020-03-18,3.21298979261724e-06
2020-03-19,3.29229010419623e-06
2020-03-20,3.29229010408098e-06
2020-03-23,2.77680986424839e-06
2020-03-24,1.62665200925256e-06
2020-03-25,1.98363308515615e-06
2020-03-26,7.93642889698298e-08
2020-03-27,6.74546067436126e-07
2020-03-30,7.53896920244277e-07
2020-03-31,8.72920236368496e-07
2020-04-01,5.15839620009579e-07
2020-04-02,-2.77787461896235e-07
2020-04-03,-3.17472966168588e-07
2020-04-06,9.12593884913312e-07
2020-04-07,7.53896920289385e-07
2020-04-08,9.52267138217865e-07
2020-04-09,6.74546067503827e-07
2020-04-10,7.14221691347222e-07
2020-04-13,9.12593884913916e-07
2020-04-14,1.19029836314841e-06
2020-04-16,1.23006326665011e-06
2020-04-17,1.07128452856863e-06
2020-04-20,8.72920236282399e-07
2020-04-21,8.72920236267279e-07
2020-04-22,7.9364288824612e-08
2020-04-23,3.17447670200503e-07
2020-04-24,-6.3497123234923e-07
2020-04-27,-1.38913103627818e-06
2020-04-28,-1.5082219510681e-06
2020-04-29,-1.50822195116511e-06
2020-05-04,-2.69873093615379e-06
2020-05-06,-1.5080786428484e-06
2020-05-07,1.98407757926826e-07
2020-05-08,-3.9682737271013e-08
2020-05-11,5.55516824446718e-07
2020-05-12,7.93642889680717e-08
2020-05-13,3.96823420990619e-08
2020-05-14,-7.9365869906842e-08
2020-05-15,3.96823421935071e-08
2020-05-18,-2.77787461899105e-07
2020-05-19,2.38088123741899e-07
2020-05-20,2.380881238621e-07
2020-05-21,3.96823421831408e-08
2020-05-22,0
2020-05-25,7.93642889400709e-08
2020-05-26,3.17447670033263e-07
2020-05-27,1.58726996858033e-07
2020-05-28,7.93642890737716e-08
2020-05-29,1.9840775792446e-07
2020-06-01,5.5551682453032e-07
2020-06-02,4.76162020517914e-07
2020-06-03,6.34870048280674e-07
2020-06-04,1.42831536748634e-06
2020-06-05,1.98363308514407e-06
2020-06-08,2.06295786949433e-06
2020-06-09,7.93571754107225e-07
2020-06-10,9.91939996838674e-07
2020-06-11,4.36484025524566e-07
2020-06-12,5.1583962003861e-07
2020-06-15,3.57126850655423e-07
2020-06-16,8.33246192720466e-07
2020-06-17,8.33246192669545e-07
2020-06-18,7.53896920241987e-07
2020-06-19,7.14221691296978e-07
2020-06-22,4.76162020524364e-07
2020-06-23,5.55516824454506e-07
2020-06-24,5.95193633989106e-07
2020-06-25,5.95193633887617e-07
2020-06-26,4.76162020482201e-07
2020-06-29,7.1422169131235e-07
2020-06-30,1.11095620169646e-06
2020-07-01,1.86464294726706e-06
2020-07-02,1.42831536752847e-06
2020-07-03,1.11095620159039e-06
2020-07-06,1.62665200932889e-06
2020-07-07,1.8249787781184e-06
2020-07-08,1.34897794597719e-06
2020-07-09,1.22996885150445e-06
2020-07-10,1.07128452844628e-06
2020-07-13,1.58698547086699e-06
2020-07-14,1.30930864279905e-06
2020-07-15,1.38864685416603e-06
2020-07-16,1.03161246005185e-06
2020-07-17,9.52267138222359e-07
2020-07-20,1.22996885157717e-06
2020-07-21,9.91939996796239e-07
2020-07-22,7.53896920201269e-07
2020-07-23,7.53896920250028e-07
2020-07-24,7.5389692011333e-07
2020-07-27,8.72920236354103e-07
2020-07-28,9.1259388500107e-07
2020-07-29,9.12593884801709e-07
2020-07-30,8.33246192690646e-07
2020-07-31,7.93571754232492e-07
2020-08-03,1.03161246003372e-06
2020-08-04,7.14221691369353e-07
2020-08-05,4.76162020525812e-07
2020-08-06,7.93571753942487e-07
2020-08-07,4.76162020596619e-07
2020-08-10,0
2020-08-11,0
2020-08-12,1.78531421434735e-06
2020-08-13,1.38864685412863e-06
2020-08-14,2.02329567455509e-06
2020-08-18,3.41196436986725e-06
2020-08-19,1.26963894467698e-06
2020-08-20,1.42831536743468e-06
2020-08-21,1.34897794617811e-06
2020-08-24,1.07128452829107e-06
2020-08-25,1.38864685422167e-06
2020-08-26,1.82497877816323e-06
2020-08-27,1.70598390156327e-06
2020-08-28,2.34058217753379e-06
2020-08-31,2.02329567453632e-06
2020-09-01,1.8646429471437e-06
2020-09-02,1.70598390172972e-06
2020-09-03,1.58698547082969e-06
2020-09-04,1.62665200919991e-06
2020-09-07,1.86464294725384e-06
2020-09-08,1.58698547084937e-06
2020-09-09,1.22996885136761e-06
2020-09-10,1.11095620168774e-06
2020-09-11,1.07128452841818e-06
2020-09-14,8.33246192644225e-07
2020-09-15,8.33246192725771e-07
2020-09-16,8.33246192806739e-07
2020-09-17,6.7454606732427e-07
2020-09-18,5.95193634077403e-07
2020-09-21,5.95193633949456e-07
2020-09-22,5.95193633821298e-07
2020-09-23,3.17447670207048e-07
2020-09-24,4.36484025572248e-07
2020-09-25,4.36484025623731e-07
2020-09-28,9.12593884822864e-07
2020-09-29,6.74546067445536e-07
2020-10-05,3.25362478979305e-06
2020-10-06,1.54731853750416e-06
2020-10-07,1.62665200924457e-06
2020-10-08,1.50765120892007e-06
2020-10-12,2.69795612560804e-06
2020-10-13,1.19029836323428e-06
2020-10-14,1.26963894467798e-06
2020-10-15,9.12593884833675e-07
2020-10-16,9.1259388494961e-07
2020-10-19,1.03161246016334e-06
2020-10-20,8.72920236391068e-07
2020-10-21,1.38864685411884e-06
2020-10-22,1.38864685419681e-06
2020-10-23,1.62665200933361e-06
2020-10-26,1.3886468540916e-06
2020-10-27,1.22996885139359e-06
2020-10-28,9.91939996804825e-07
2020-10-29,1.26963894476577e-06
2020-10-30,1.66631815295857e-06
2020-11-02,1.78531421428359e-06
2020-11-03,1.78531421416633e-06
2020-11-04,1.50765120909397e-06
2020-11-05,8.72920236192877e-07
2020-11-06,8.33246192769669e-07
2020-11-09,8.33246192637413e-07
2020-11-10,1.78531421424815e-06
2020-11-11,1.62665200936171e-06
2020-11-12,1.19029836331073e-06
2020-11-13,9.9193999678679e-07
2020-11-16,8.33246192712895e-07
2020-11-17,9.91939996646912e-07
2020-11-18,7.14221691470946e-07
2020-11-19,7.14221691248184e-07
2020-11-20,4.76162020527913e-07
2020-11-23,4.76162020435593e-07
2020-11-24,9.91939996858368e-07
2020-11-25,8.33246192689863e-07
2020-11-26,1.03161246016542e-06
2020-11-27,1.22996885133778e-06
2020-11-30,1.26963894464527e-06
2020-12-01,7.93571754177652e-07
2020-12-02,1.03161246016647e-06
2020-12-03,1.03161246011545e-06
2020-12-04,9.52267138272223e-07
2020-12-07,9.12593884931771e-07
2020-12-08,7.538969201666e-07
2020-12-09,8.72920236321188e-07
2020-12-10,5.95193633826429e-07
